?match	?score	?gene	?genename	?taxon	?taxonname
<http://purl.org/phenoscape/uuid/b1f191e5-53e0-4ac0-b145-527cd306f396>	"0.13187034184762306"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0011806>	"Simiiformes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b0eac414-3cf0-4d6c-ba45-b8d107360eb6>	"0.24383806802537547"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0022375>	"Dinosauria"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a4a9ea3d-f302-41db-8e00-8f1dd9ef468b>	"0.15626300784181163"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0022382>	"Theropoda"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a39b2a42-3c23-4873-89c3-ac459e55e904>	"0.26500509710581943"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0034543>	"Clupeomorpha"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a9cf5cab-44a6-4417-88d6-22a5b94d14fd>	"0.019673527963909747"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0034612>	"Harengula"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/beb45d4b-6312-4da1-9b64-4e2ea5a9064e>	"0.22906186354323055"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0034961>	"Gonorynchidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a664fcdc-242a-4d57-b233-42e5cba50ec5>	"0.058260635870357055"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0035036>	"Trachelyopterus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/bf76c273-6448-46e9-9599-ae5862b42140>	"0.050767254383249145"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0035063>	"Microglanis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b62365c6-033f-4657-92fb-f79b98f657eb>	"0.24689938533755706"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0035073>	"Bagridae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a44cf7f0-3886-42be-80a1-f535ebfa52c1>	"0.11721551978245823"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0035094>	"Pseudobagrus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/bdca573f-c510-43e7-837e-ef6516cdcfe2>	"0.2703186403854734"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0035614>	"Heptapteridae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b1977c79-2931-4e7a-9dfa-dc907a37a83e>	"0.10342067084942883"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0035656>	"Brachyrhamdia"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a89bff64-2a2d-48f1-b236-4188660d03e2>	"0.1426964378095029"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0035746>	"Cochlefelis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b02ec097-3cb6-496f-a666-353c4387a112>	"0.1575576879728802"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0036114>	"Pseudolaguvia"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b9926def-274c-4f36-9750-b6779997ada7>	"0.1426964378095029"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0036137>	"Kryptopterus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/c0689dcc-3d75-4ed5-8475-423eea1b30b2>	"0.14447756780828078"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0036204>	"Neotropius"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/9f0346ac-3313-498c-b3c6-4cbf8da74272>	"0.0935798825486077"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0036333>	"Rhamdia"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/be32f84a-fe32-4a45-aab8-8ad0003fc614>	"0.2663332854304996"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0036719>	"Mochokidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/abaa3e47-e265-47b9-b5f8-f172cd6d2b03>	"0.10378078359964121"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0037153>	"Isbrueckerichthys"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a34db2e0-33fc-486e-96fd-4441ea0747b2>	"0.1477977364593705"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0037181>	"Pareiorhaphis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b6889d89-29f4-49d4-9957-e1697a7d4e8d>	"0.12914343828975064"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0037349>	"Lithoxus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b4cdc4ee-5b51-4f10-93b7-a3c35f145ae7>	"0.1352733389390769"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0037995>	"Brycon"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a3ed1b6f-cbbb-48ce-bc69-312784110f72>	"0.2082908218163931"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0038354>	"Creagrutus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b47b3769-9beb-4ef3-81e8-58e1b8e37f1f>	"0.18066577557551053"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0038613>	"Acestrorhynchus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/acb6b869-a583-4e2a-bf70-fe0ce587ff04>	"0.26241550823947113"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0038631>	"Anostomidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/c120f276-e76c-4a4a-944c-ef97489f53f7>	"0.08522737511149917"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0064656>	"Prochilodontidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a6c8fa5c-c0c1-43fa-ad98-c6e5082bbb1b>	"0.18936591590503174"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0039423>	"Devario"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/ace8d383-5d60-4cfe-b66f-3747048d6653>	"0.19655555657421891"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0039793>	"Danio"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b3f3add2-bb8f-4af7-bec8-8c095fc2a6ea>	"0.2867412633640005"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0040252>	"Cyprinella"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/9fc88f42-ad6a-4d03-a836-bcccfae4f0b1>	"0.1008565516525065"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0040541>	"Barbus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/9e60a7e2-2972-4e2e-810f-cb34b60cceb5>	"0.2663107726767843"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0043570>	"Channichthyidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b6238bf5-4e65-47b1-a715-f1ee6d86d44c>	"0.19655555657421891"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0047262>	"Nandopsis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a02bfb54-f583-4c82-ba7c-141a4d508c20>	"0.2425541547299921"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0047365>	"Cichlasoma"^^<http://www.w3.org/2001/XMLSchema#string>
